dispositivo,tipoinfraccion,imagen,ubicacion,zonainteres,fechahora
NVIDIATSS01,objetomano,imageneseventos/objetomano_infraccion_2025-11-25_15-44-58.jpg,Escaleras Universidad Piso 1 Ed Sistemas,RIESGO MEDIO,2025-11-25 15:44:58
NVIDIATSS01,laptop,imageneseventos/laptop_infraccion_2025-11-25_15-45-18.jpg,Escaleras Universidad Piso 1 Ed Sistemas,RIESGO MEDIO,2025-11-25 15:45:18
NVIDIATSS01,celular,imageneseventos/celular_infraccion_2025-11-25_15-45-42.jpg,Escaleras Universidad Piso 1 Ed Sistemas,RIESGO MEDIO,2025-11-25 15:45:42
